Constraining,ar6_chapter7,ar6_chapter7,ar6_chapter7,ar6_chapter7,mh_sampler,mh_sampler,mh_sampler,mh_sampler
Sampling,ar6,ar6_orig,mce-2l,s21,ar6,ar6_orig,mce-2l,s21
Sequence,,,,,,,,
305,1882,1788,2392,1869,39258,48918,33399,38519
306,1889,1801,2393,1879,49144,31764,14843,3645
307,1890,1802,2395,1881,2196,545,34912,48213
308,1908,1804,2399,1884,1146,35686,8892,38603
309,1931,1805,2413,1886,20290,18527,39906,1372
310,1946,1806,2415,1900,25191,38001,9250,8033
311,1948,1814,2420,1905,33080,47055,5879,17098
312,1953,1820,2421,1913,40618,39561,22226,42208
313,1954,1832,2425,1916,11077,42152,32288,1150
314,1968,1860,2426,1920,9748,26213,8697,45295
315,1978,1869,2436,1923,26025,41931,10933,41833
316,1988,1876,2439,1931,30441,43763,9113,4202
317,1990,1882,2443,1932,25437,1035,5457,5713
318,1995,1884,2446,1942,35566,39665,29403,40303
319,1996,1887,2447,1948,28702,30762,23271,22786
320,2002,1889,2450,1949,41887,17858,18399,4077
321,2003,1890,2463,1954,3240,34116,21518,36622
322,2008,1891,2465,1963,32077,28132,9050,13899
323,2026,1893,2473,1966,43690,40564,33389,1530
324,2027,1894,2487,1970,35031,5865,9876,3105
325,2028,1905,2491,1976,1514,45612,49868,32796
326,2038,1912,2495,1983,33336,10888,8935,21762
327,2040,1915,2510,1986,28185,1035,28283,30943
328,2042,1920,2511,1987,23703,35551,33226,37700
329,2043,1931,2525,1999,4231,1814,5191,43523
330,2047,1932,2529,2000,15859,29977,38134,35579
331,2056,1933,2534,2004,15906,2303,21873,26648
332,2058,1935,2541,2009,211,49473,20406,693
333,2065,1936,2546,2014,27201,16678,12307,33140
334,2069,1939,2550,2016,43139,37071,12884,6598
335,2080,1942,2553,2025,24983,36724,18676,14634
336,2082,1947,2560,2027,21306,7390,15248,2553
337,2110,1949,2576,2035,23973,21868,3887,4578
338,2133,1959,2578,2037,500,41138,12085,727
339,2134,1963,2581,2046,25692,13034,34928,14353
340,2136,1966,2593,2052,38141,11426,41512,43599
341,2143,1968,2594,2055,5265,3988,30718,49263
342,2147,1969,2598,2059,30861,21052,35913,14789
343,2150,1971,2612,2069,20073,14362,32813,28809
344,2158,1976,2614,2074,22180,992,22859,36622
345,2159,1987,2643,2085,5685,5814,49031,20759
346,2161,1995,2665,2089,7880,43897,10568,27091
347,2162,1996,2674,2117,31109,45468,19084,29021
348,2169,2002,2683,2122,23565,36483,6166,14789
349,2171,2007,2701,2128,15548,23322,40159,45265
350,2185,2018,2703,2141,45399,45181,42536,27249
351,2195,2023,2705,2142,8137,8072,13644,11665
352,2196,2024,2730,2158,36244,37911,43104,22456
353,2201,2025,2745,2159,40851,10513,27604,8787
354,2202,2032,2760,2162,23565,32425,10680,19644
355,2207,2038,2764,2168,41483,13597,43555,23241
356,2208,2043,2774,2180,12542,49617,34328,11702
357,2233,2047,2779,2185,29007,29772,31475,29826
358,2244,2050,2782,2190,19632,16746,19699,28914
359,2246,2051,2816,2202,16083,39578,31549,44633
360,2252,2054,2822,2208,1606,6223,5490,132
361,2253,2055,2826,2211,21284,3108,23462,26613
362,2271,2058,2831,2213,3256,12193,41527,19158
363,2277,2059,2839,2215,29228,46593,26481,4729
364,2279,2066,2842,2222,42014,17414,12165,20050
365,2294,2077,2866,2227,12458,37698,10869,36634
366,2297,2084,2874,2233,21271,38581,29403,43289
367,2300,2091,2883,2238,24741,54,33389,17801
368,2303,2092,2920,2247,44236,31339,40456,43861
369,2308,2093,2932,2250,39956,24312,15295,20759
370,2312,2100,2944,2254,1890,23066,2705,43968
371,2318,2123,2974,2256,16104,5525,10524,8976
372,2320,2128,2987,2257,35329,12859,47549,36065
373,2326,2129,2992,2271,25005,36195,15265,45884
374,2327,2133,3007,2273,8354,8719,20095,12595
375,2336,2135,3016,2283,31791,20277,31559,40369
376,2339,2143,3020,2286,42121,202,21212,6575
377,2340,2150,3032,2294,620,32433,24687,40657
378,2354,2154,3036,2297,37698,24344,138,6684
379,2358,2157,3037,2300,1468,49482,8664,44351
380,2368,2159,3039,2307,11043,6945,34004,26975
381,2370,2162,3047,2312,28396,37655,35431,42387
382,2371,2165,3048,2313,24028,5768,20406,18479
383,2376,2187,3053,2321,11413,19805,37443,26420
384,2379,2197,3090,2323,47787,22038,9899,27033
385,2382,2200,3097,2326,4075,37565,11015,43398
386,2400,2206,3100,2327,31125,10513,4824,41293
387,2402,2213,3104,2330,19243,20264,27720,35615
388,2404,2214,3105,2335,27535,24069,48288,46468
389,2425,2215,3109,2336,26999,42244,14674,35615
390,2429,2223,3135,2339,24506,21211,48503,45775
391,2444,2238,3137,2342,48424,2868,23684,2425
392,2447,2240,3142,2355,9912,34045,32334,6107
393,2451,2250,3143,2371,3988,17252,49231,34491
394,2455,2256,3163,2376,12353,37071,31928,28646
395,2463,2270,3171,2380,46315,27500,16625,39715
396,2476,2272,3179,2388,10415,38001,26649,26625
397,2479,2275,3180,2392,12165,47512,32532,41121
398,2482,2277,3182,2400,48598,45506,36229,825
399,2488,2283,3186,2404,35962,23344,29298,302
400,2491,2284,3204,2417,47878,29797,34471,4436
401,2492,2285,3206,2418,6037,34500,15086,4966
402,2500,2286,3215,2425,17050,38233,17513,42139
403,2503,2290,3225,2436,44335,13943,27056,14506
404,2509,2297,3243,2439,40404,8149,31176,41863
405,2515,2303,3244,2444,44987,13189,14843,49758
406,2518,2308,3245,2451,31376,24241,1905,11011
407,2523,2309,3251,2453,17894,20168,40329,101
408,2528,2314,3256,2465,2731,47957,41837,42838
409,2529,2316,3276,2491,20647,25519,28639,43523
410,2536,2320,3295,2492,48699,28343,13043,9254
411,2537,2327,3303,2495,35002,15141,18020,21237
412,2538,2337,3304,2505,43769,17787,20406,26370
413,2541,2339,3314,2510,1946,33031,48868,25279
414,2550,2364,3315,2511,43001,40353,31608,19593
415,2551,2368,3317,2529,19015,28842,163,48598
416,2557,2374,3320,2534,39921,46830,45323,48816
417,2576,2379,3322,2546,6037,46200,38494,15701
418,2581,2382,3325,2557,22340,22219,24082,32436
419,2583,2386,3328,2559,15877,3355,10213,24401
420,2584,2389,3329,2573,35449,24730,44065,13083
421,2587,2391,3358,2578,10091,48921,49270,19347
422,2589,2393,3375,2581,31462,38147,18081,35165
423,2593,2399,3388,2583,18690,22592,1040,9802
424,2594,2401,3391,2585,28366,32288,18797,43591
425,2597,2402,3393,2590,49366,17678,45267,33303
426,2600,2419,3396,2591,29155,33253,43475,6292
427,2604,2426,3406,2595,22069,6404,11996,7208
428,2606,2428,3414,2596,45612,38581,40649,38025
429,2613,2433,3416,2602,1623,18659,31307,31459
430,2617,2447,3419,2604,13409,13189,46793,20337
431,2618,2450,3429,2606,5405,28492,5618,3160
432,2621,2452,3432,2610,37078,18909,42125,48672
433,2626,2458,3440,2614,41483,35566,42233,24905
434,2629,2459,3458,2629,22128,13989,11837,28463
435,2630,2463,3462,2631,17673,7098,9113,48013
436,2631,2476,3466,2635,47420,6839,43395,32601
437,2637,2481,3471,2638,3428,28240,35838,18589
438,2638,2484,3473,2645,4927,16966,163,6684
439,2645,2488,3479,2652,46315,36726,41538,13179
440,2648,2489,3486,2656,26149,27231,41064,19058
441,2650,2496,3496,2660,36060,29698,49868,38181
442,2652,2500,3505,2668,12190,49049,10103,22496
443,2663,2504,3509,2669,38364,24209,33172,10345
444,2669,2510,3514,2679,9688,16309,1365,42465
445,2680,2511,3517,2687,33722,30875,48710,49882
446,2681,2512,3521,2690,42193,5582,17599,22342
447,2687,2515,3540,2691,794,36093,19233,30787
448,2697,2523,3545,2703,21379,33276,25504,30943
449,2707,2529,3548,2708,20033,5582,33948,36306
450,2724,2534,3554,2714,42433,32476,23989,8184
451,2745,2541,3612,2718,17208,2644,30484,26234
452,2763,2543,3621,2722,6479,26506,42170,13025
453,2780,2547,3633,2724,15039,30810,30276,21113
454,2785,2550,3634,2729,2637,24209,14353,825
455,2788,2551,3638,2730,35199,27467,28842,22863
456,2793,2555,3646,2741,17993,31105,3204,9081
457,2794,2556,3660,2743,32672,43174,19522,31376
458,2805,2559,3663,2745,7567,35778,44029,48978
459,2815,2571,3685,2773,49740,32476,40329,23882
